Time (Sec);S8;S9;S30;S31;S6;S25;S22;S23;S24;S33;S32;S10;S17;S28;S21;S26;S19;S27;S18;S20;S29;S11;
0.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
1.0005740740740685;99.98845279999983;99.98833839999983;99.98639999999983;99.98639999999983;100.0;99.98821599999984;99.98468399999983;99.98821599999984;99.98639999999983;99.98639999999983;99.98639999999983;99.98821599999984;99.98823039999984;99.98468399999983;99.98639999999983;99.98468399999983;99.98651439999983;99.98286799999983;99.98639999999983;99.98468399999983;99.98468399999983;99.98844479999984;
2.000000000000006;99.98345279999967;99.98333839999967;99.98139999999967;99.98139999999967;100.0;99.98321599999967;99.97968399999966;99.98321599999967;99.98139999999967;99.98139999999967;99.98139999999967;99.98321599999967;99.98333039999967;99.97968399999966;99.98139999999967;99.97968399999966;99.98151439999967;99.97786799999966;99.98139999999967;99.97968399999966;99.97968399999966;99.98344479999967;
3.000000000000125;99.9784527999995;99.9783383999995;99.9763999999995;99.9763999999995;100.0;99.9782159999995;99.9746839999995;99.9782159999995;99.9763999999995;99.9763999999995;99.9763999999995;99.9782159999995;99.9783303999995;99.9746839999995;99.9763999999995;99.9746839999995;99.9765143999995;99.9728679999995;99.9763999999995;99.9746839999995;99.9746839999995;99.97844479999951;
4.000000000000243;99.97345279999934;99.97333839999934;99.97139999999933;99.97139999999933;100.0;99.97321599999934;99.96968399999933;99.97321599999934;99.97139999999933;99.97139999999933;99.97139999999933;99.97321599999934;99.97333039999934;99.96968399999933;99.97139999999933;99.96968399999933;99.97151439999934;99.96786799999933;99.97139999999933;99.96968399999933;99.96968399999933;99.97344479999934;
5.000000000000406;99.96845279999917;99.96833839999917;99.96639999999917;99.96639999999917;100.0;99.96821599999917;99.96468399999917;99.96821599999917;99.96639999999917;99.96639999999917;99.96639999999917;99.96821599999917;99.96833039999918;99.96468399999917;99.96639999999917;99.96468399999917;99.96651439999917;99.96286799999916;99.96639999999917;99.96468399999917;99.96468399999917;99.96844479999918;
6.000000000000054;99.963452799999;99.963338399999;99.961399999999;99.961399999999;100.0;99.96321599999901;99.959683999999;99.96321599999901;99.961399999999;99.961399999999;99.961399999999;99.96321599999901;99.96333039999901;99.959683999999;99.961399999999;99.959683999999;99.961514399999;99.957867999999;99.961399999999;99.959683999999;99.959683999999;99.96344479999901;
7.000000000000592;98.73971039999886;99.95833839999884;99.95639999999884;99.95639999999884;100.0;99.24781599999902;98.64548319999864;98.43076799999949;99.09134799999923;99.25783999999882;99.95639999999884;99.2263711999988;98.78975999999837;99.95468399999884;99.31275519999859;99.24428399999901;98.83719839999931;99.12233599999851;99.95639999999884;99.95468399999884;99.95468399999884;99.95844479999884;
8.000000000000579;95.95939039999875;99.95333839999867;99.95139999999867;99.95139999999867;100.0;98.53241599999903;96.55410319999804;96.3135680000002;98.04545599999953;98.55427999999864;99.95139999999867;97.12567759999871;96.55243919999724;99.94968399999867;98.26921519999802;98.52888399999902;96.71999840000002;98.07879599999794;99.95139999999867;99.94968399999867;99.94968399999867;99.95344479999868;
9.000000000000695;93.17907039999865;99.9483383999985;99.9463999999985;99.9463999999985;100.0;97.81701599999904;94.46272319999744;94.19636800000092;96.97084799999983;97.85071999999846;99.9463999999985;95.02603759999857;94.3016191999961;99.9446839999985;97.22567519999744;97.81348399999904;94.60279840000074;97.03525599999736;99.9463999999985;99.9446839999985;99.9446839999985;99.94844479999851;
