Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Petición a timescale aggregation,60,1848,440,2399,480.46,0.000%,18.94537,1321.12,3.55,71406.5
TOTAL,60,1848,440,2399,480.46,0.000%,18.94537,1321.12,3.55,71406.5
